sale_date,sale_price,sale_nbr,lat,lng,sqft,sqft_lot,year_built,year_reno,sqft_fbsmt,sqft_1,grade,fbsmt_grade,condition,stories,beds,bath_full,bath_3qtr,bath_half,garb_sqft,gara_sqft
2020-07-23,1058000,5.0,47.746432363860045,-122.04970151462967,2320,56740,1997,0,0,1230,7,0,3,2.0,3,2,0,1,0,890
2020-06-29,440000,2.0,47.33392073899194,-122.32870529663204,2090,13300,1974,0,1040,1050,7,7,3,1.0,4,1,2,0,0,0
2020-07-26,500000,3.0,47.28165921544743,-122.25204947907208,580,16000,1912,0,0,580,3,0,1,1.0,2,1,0,0,0,0
2020-07-21,1110000,2.0,47.77097538451732,-122.21198224447484,2710,33605,1957,0,100,2610,8,6,3,1.0,5,2,0,1,0,0
2020-07-06,2549950,3.0,47.67461075973856,-122.32719084690343,1220,6120,1938,0,130,1090,7,6,4,1.0,3,1,0,0,0,0
2020-07-26,600000,2.0,47.370970741057256,-122.03738238511076,1090,16000,1954,0,0,1090,6,0,3,1.0,4,1,0,0,0,0
2020-07-31,2200000,3.0,47.65137329860595,-122.3710733305076,1350,6000,1942,0,0,1200,7,0,4,1.5,2,1,0,0,0,0
2020-07-22,732757,3.0,47.522820535536766,-122.32319828862802,1540,6000,1910,1985,0,870,6,0,3,2.0,4,1,0,1,0,0
2020-07-30,615000,2.0,47.49777980722467,-122.2622287183112,2000,6360,1993,0,810,1190,7,7,3,1.0,4,3,0,0,350,180
2020-07-19,1750000,2.0,47.646142422531724,-122.30238494305698,1850,5450,1926,0,0,1030,10,0,4,2.0,3,1,0,1,0,0
2020-07-27,610000,5.0,47.51320348733203,-122.31536522884568,2970,12000,1926,0,1220,1250,6,6,5,1.5,6,2,0,0,0,0
